"person_id","family_id","community_id","county_id","province_id","cesd8","income_satis","income_rel","status_rel","age","gender","ethnicity_han","hukou_rural","urban","party_member","retired","pension","num_children_u16","family_size","edu_last_raw","edu_update","wordlist_raw","mathlist_raw","employ_status","smoke_age","handedness","interview_year","interview_month"
100051501,100051,624942,45,11,2,4,1,1,53,"female",1,1,1,0,1,0,1,3,5,5,1,1,"employed",0,"right",2022,6
100051502,100051,624942,45,11,1,4,4,5,56,"male",1,1,1,1,0,0,1,3,5,5,1,1,"employed",1,"right",2022,6
110043107,100051,624942,45,11,2,4,3,3,28,"male",1,1,1,0,0,0,1,3,6,6,2,2,"employed",1,"right",2022,6
100160601,100160,800637,189,12,2,4,3,2,33,"male",1,1,1,1,0,0,1,3,7,7,1,1,"employed",1,"right",2022,7
120009102,100160,800637,189,12,2,4,3,3,31,"female",1,1,1,0,0,0,1,3,7,7,6,2,"employed",0,"right",2022,7
100551551,100551,462546,363,13,5,4,3,3,32,"female",1,1,1,0,0,0,3,4,7,7,1,1,"employed",0,"right",2022,7
130281103,100551,462546,363,13,13,4,3,3,34,"male",1,1,1,0,0,0,3,4,7,7,8,4,"employed",0,"right",2022,7
100724601,100724,119300,48,13,5,4,3,2,34,"male",1,1,1,0,0,0,3,4,5,5,1,1,"employed",1,"right",2022,7
130492103,100724,119300,48,13,9,4,3,3,34,"female",1,1,1,0,0,0,3,4,6,6,1,1,"out_of_labor_force",0,"right",2022,6
130463101,130463,121400,53,13,3,5,3,4,58,"male",1,1,0,1,0,0,4,7,3,3,7,3,"employed",1,"right",2022,7
130463102,130463,121400,53,13,7,2,3,3,54,"female",1,1,0,0,0,0,4,7,0,0,8,4,"employed",0,"right",2022,7
130463103,130463,121400,53,13,2,2,3,3,32,"male",1,1,0,0,0,0,4,7,3,3,1,1,"unemployed",1,"right",2022,7
100765701,100765,119400,48,13,2,4,4,3,29,"male",NA,NA,1,0,0,0,2,4,NA,4,2,2,"employed",0,"right",2022,6
130533103,100765,119400,48,13,9,4,3,3,29,"female",1,1,1,0,0,0,2,4,4,4,3,3,"out_of_labor_force",0,"right",2022,6
130517101,100782,119500,48,13,2,4,3,3,52,"male",1,1,0,0,0,0,0,3,4,4,7,3,"employed",1,"right",2022,7
130517102,100782,119500,48,13,15,5,3,3,48,"female",1,1,0,0,0,0,0,3,4,4,3,1,"employed",0,"right",2022,7
130815105,101023,188442,50,13,6,5,3,3,41,"female",1,1,1,0,0,0,1,4,5,5,6,2,"employed",0,"right",2022,7
101129501,101129,118800,46,13,6,2,2,2,32,"female",1,NA,0,0,0,0,4,5,4,4,2,2,"out_of_labor_force",0,"right",2022,7
130896107,101129,118800,46,13,3,4,3,1,32,"male",1,1,0,0,0,0,4,5,3,3,5,1,"employed",1,"right",2022,8
130897431,101130,118800,46,13,3,4,3,4,49,"male",1,1,0,0,0,0,0,4,3,3,6,4,"employed",0,"right",2022,7
130897432,101130,118800,46,13,10,5,5,5,52,"female",1,1,0,0,0,1,0,4,3,3,6,4,"employed",0,"right",2022,7
140093103,101274,128000,69,14,9,3,2,2,33,"female",1,1,0,0,0,0,1,3,4,4,1,1,"employed",0,"right",2022,10
140676103,101711,128800,71,14,6,4,3,3,33,"female",1,1,0,0,0,0,3,4,3,4,4,4,"employed",0,"right",2022,7
140668105,101797,534964,175,11,4,2,3,3,37,"male",1,1,0,0,0,0,1,4,4,4,7,3,"employed",1,"right",2022,6
140838102,101802,246916,72,14,8,4,2,3,50,"female",1,1,1,0,0,0,1,5,3,3,7,3,"out_of_labor_force",0,"right",2022,7
140838103,101802,246916,72,14,6,2,3,3,30,"male",1,1,1,0,0,0,1,5,5,5,8,4,"employed",1,"1",2022,7
411737103,411737,210200,108,41,6,4,3,4,27,"male",1,1,0,0,0,0,0,3,7,7,4,4,"employed",1,"1",2022,8
210223103,102448,497261,607,21,6,4,3,3,29,"male",1,1,1,0,0,0,0,2,7,7,6,2,"employed",0,"right",2022,9
210413101,102571,834725,155,21,11,4,2,2,45,"female",1,1,0,0,0,0,0,5,3,3,6,2,"employed",0,"right",2022,8
210413102,102571,834725,155,21,11,2,1,2,53,"male",1,1,0,0,0,0,0,5,3,3,6,2,"employed",1,"right",2022,8
103465551,103465,830480,150,21,5,2,3,3,36,"female",1,1,1,0,0,0,2,4,7,7,4,2,"employed",0,"right",2022,8
211584103,103465,830480,150,21,4,1,2,2,35,"male",1,1,1,0,0,0,2,4,7,7,7,3,"employed",0,"right",2022,8
211600103,211600,827338,617,21,6,2,2,2,37,"male",1,1,1,0,0,0,1,5,5,6,2,2,"employed",0,"1",2022,9
211934101,103766,231800,162,21,2,2,1,1,47,"male",1,1,0,0,0,0,0,3,3,3,2,2,"employed",0,"1",2022,11
211934102,103766,231800,162,21,0,5,3,3,47,"female",1,1,0,0,0,0,0,3,3,3,3,3,"employed",0,"1",2022,11
211934103,103766,231800,162,21,3,1,2,2,25,"male",1,1,0,0,0,0,0,3,4,4,5,1,"out_of_labor_force",1,"right",2022,11
230327102,104521,853811,8943,23,7,2,2,1,61,"female",1,1,1,0,0,1,1,1,3,3,3,1,"out_of_labor_force",1,"right",2022,6
311299103,105727,448867,90,31,1,2,3,3,45,"male",1,1,1,0,0,0,0,3,4,4,6,2,"employed",1,"right",2022,8
311299104,105727,448867,90,31,5,3,3,2,44,"female",1,1,1,0,0,0,0,3,4,4,7,3,"employed",0,"right",2022,8
311299105,105727,448867,90,31,5,2,1,3,22,"female",1,1,1,0,0,0,0,3,5,7,8,4,"employed",0,"right",2022,8
312144101,106335,205300,95,31,2,4,3,3,40,"female",1,1,0,0,0,0,0,5,6,6,1,1,"employed",0,"right",2022,10
312144106,106335,205300,95,31,6,4,3,3,40,"male",1,1,0,0,0,0,0,5,5,5,2,2,"employed",1,"right",2022,9
312144431,106335,205300,95,31,2,3,2,3,64,"female",1,1,0,0,1,0,0,5,5,5,2,2,"out_of_labor_force",0,"right",2022,9
107435501,107435,180488,1,34,7,4,2,3,47,"female",1,1,1,0,0,0,0,3,4,4,6,2,"employed",0,"right",2022,5
340123205,107435,180488,1,34,5,2,3,2,46,"male",1,1,1,0,0,0,0,3,4,4,1,1,"employed",1,"right",2022,5
350095103,350095,110800,27,35,4,2,3,3,34,"male",NA,1,0,0,0,0,2,6,4,4,3,1,"employed",0,"right",2022,8
350095431,350095,110800,27,35,8,4,2,3,34,"female",1,1,0,0,0,0,2,6,4,4,2,2,"employed",0,"right",2022,6
340342103,107643,889135,2,34,8,3,3,2,44,"male",1,1,1,0,0,0,2,6,4,4,6,2,"employed",1,"right",2022,7
340342104,107643,889135,2,34,14,3,2,1,36,"female",1,1,1,0,0,0,2,6,4,4,2,2,"employed",0,"right",2022,7
350127103,107824,408324,28,35,0,2,4,4,40,"male",1,1,1,0,0,0,2,4,5,5,1,1,"employed",0,"right",2022,5
370089101,107911,903217,6752,37,15,1,4,4,57,"male",1,1,0,0,0,1,2,2,4,4,5,1,"employed",0,"right",2022,6
370089102,107911,903217,6752,37,10,1,3,3,56,"female",1,1,0,0,0,0,2,2,4,4,6,2,"employed",0,"right",2022,6
360278103,108165,217900,127,44,15,4,1,2,31,"male",1,1,1,0,0,0,1,2,6,6,1,1,"employed",1,"right",2022,7
